journal_name,journal_link,is_predatory
Prolíngua,http://periodicos.ufpb.br/index.php/prolingua/index,0
Проблеми Законності,http://plaw.nlu.edu.ua/,0
Enlightening Tourism: A Pathmaking Journal,http://www.uhu.es/publicaciones/ojs/index.php/et,0
Scientific Journals of the Maritime University of Szczecin,http://scientific-journals.eu/,0
"Fronteiras: Journal of Social, Technological and Environmental Science",http://revistas.unievangelica.edu.br/index.php/fronteiras,0
Academic Exchange Quarterly,http://www.rapidintellect.com/AEQweb/,1
Academic Research Reviews,http://academicreviews.us/Default.aspx,1
Academy of Contemporary Research Journal,http://aocrj.org/,1
ACME Intellects,http://www.acmeintellects.org/,1
Acoustics,https://www.mdpi.com/journal/acoustics,1
